Date,Name,NBA ID,ESPN ID,Yahoo ID
Sat Oct 23 2021 20:00:00 GMT-0600 (Mountain Daylight Time),PhoenixSuns_at_PortlandTrailBlazers_2021-10-23,0022100033,401359857,phoenix-suns-portland-trail-blazers-2021102322
Sat Oct 23 2021 20:30:00 GMT-0600 (Mountain Daylight Time),MemphisGrizzlies_at_LosAngelesClippers_2021-10-23,0022100034,401359858,memphis-grizzlies-los-angeles-clippers-2021102312
Sun Oct 24 2021 14:00:00 GMT-0600 (Mountain Daylight Time),CharlotteHornets_at_BrooklynNets_2021-10-24,0022100035,401359859,charlotte-hornets-brooklyn-nets-2021102417
Sun Oct 24 2021 17:00:00 GMT-0600 (Mountain Daylight Time),OrlandoMagic_at_NewYorkKnicks_2021-10-24,0022100036,401359860,orlando-magic-new-york-knicks-2021102418
Sun Oct 24 2021 17:00:00 GMT-0600 (Mountain Daylight Time),BostonCeltics_at_HoustonRockets_2021-10-24,0022100037,401359861,boston-celtics-houston-rockets-2021102410
Sun Oct 24 2021 17:00:00 GMT-0600 (Mountain Daylight Time),Philadelphia76ers_at_OklahomaCityThunder_2021-10-24,0022100038,401359862,philadelphia-76ers-oklahoma-city-thunder-2021102425
Sun Oct 24 2021 19:00:00 GMT-0600 (Mountain Daylight Time),GoldenStateWarriors_at_SacramentoKings_2021-10-24,0022100039,401359863,golden-state-warriors-sacramento-kings-2021102423
Sun Oct 24 2021 19:30:00 GMT-0600 (Mountain Daylight Time),MemphisGrizzlies_at_LosAngelesLakers_2021-10-24,0022100040,401359864,memphis-grizzlies-los-angeles-lakers-2021102413
Mon Oct 25 2021 17:00:00 GMT-0600 (Mountain Daylight Time),BostonCeltics_at_CharlotteHornets_2021-10-25,0022100041,401359865,boston-celtics-charlotte-hornets-2021102530
Mon Oct 25 2021 17:00:00 GMT-0600 (Mountain Daylight Time),MilwaukeeBucks_at_IndianaPacers_2021-10-25,0022100042,401359866,milwaukee-bucks-indiana-pacers-2021102511
Mon Oct 25 2021 17:30:00 GMT-0600 (Mountain Daylight Time),DetroitPistons_at_AtlantaHawks_2021-10-25,0022100043,401359867,detroit-pistons-atlanta-hawks-2021102501
Mon Oct 25 2021 17:30:00 GMT-0600 (Mountain Daylight Time),WashingtonWizards_at_BrooklynNets_2021-10-25,0022100044,401359868,washington-wizards-brooklyn-nets-2021102517
Mon Oct 25 2021 17:30:00 GMT-0600 (Mountain Daylight Time),OrlandoMagic_at_MiamiHeat_2021-10-25,0022100045,401359869,orlando-magic-miami-heat-2021102514
Mon Oct 25 2021 17:30:00 GMT-0600 (Mountain Daylight Time),ChicagoBulls_at_TorontoRaptors_2021-10-25,0022100046,401359870,chicago-bulls-toronto-raptors-2021102528
Mon Oct 25 2021 18:00:00 GMT-0600 (Mountain Daylight Time),NewOrleansPelicans_at_MinnesotaTimberwolves_2021-10-25,0022100047,401359871,new-orleans-pelicans-minnesota-timberwolves-2021102516
Mon Oct 25 2021 19:00:00 GMT-0600 (Mountain Daylight Time),ClevelandCavaliers_at_DenverNuggets_2021-10-25,0022100048,401359872,cleveland-cavaliers-denver-nuggets-2021102507
Mon Oct 25 2021 20:30:00 GMT-0600 (Mountain Daylight Time),PortlandTrailBlazers_at_LosAngelesClippers_2021-10-25,0022100049,401359873,portland-trail-blazers-los-angeles-clippers-2021102512
Tue Oct 26 2021 17:30:00 GMT-0600 (Mountain Daylight Time),Philadelphia76ers_at_NewYorkKnicks_2021-10-26,0022100050,401359874,philadelphia-76ers-new-york-knicks-2021102618
Tue Oct 26 2021 18:00:00 GMT-0600 (Mountain Daylight Time),GoldenStateWarriors_at_OklahomaCityThunder_2021-10-26,0022100051,401359875,golden-state-warriors-oklahoma-city-thunder-2021102625
Tue Oct 26 2021 18:30:00 GMT-0600 (Mountain Daylight Time),HoustonRockets_at_DallasMavericks_2021-10-26,0022100052,401359876,houston-rockets-dallas-mavericks-2021102606
Tue Oct 26 2021 18:30:00 GMT-0600 (Mountain Daylight Time),LosAngelesLakers_at_SanAntonioSpurs_2021-10-26,0022100053,401359877,los-angeles-lakers-san-antonio-spurs-2021102624
Tue Oct 26 2021 20:00:00 GMT-0600 (Mountain Daylight Time),DenverNuggets_at_UtahJazz_2021-10-26,0022100054,401359878,denver-nuggets-utah-jazz-2021102626
Wed Oct 27 2021 17:00:00 GMT-0600 (Mountain Daylight Time),CharlotteHornets_at_OrlandoMagic_2021-10-27,0022100055,401359879,charlotte-hornets-orlando-magic-2021102719
Wed Oct 27 2021 17:30:00 GMT-0600 (Mountain Daylight Time),WashingtonWizards_at_BostonCeltics_2021-10-27,0022100056,401359880,washington-wizards-boston-celtics-2021102702
Wed Oct 27 2021 17:30:00 GMT-0600 (Mountain Daylight Time),MiamiHeat_at_BrooklynNets_2021-10-27,0022100057,401359881,miami-heat-brooklyn-nets-2021102717
Wed Oct 27 2021 17:30:00 GMT-0600 (Mountain Daylight Time),IndianaPacers_at_TorontoRaptors_2021-10-27,0022100058,401359882,indiana-pacers-toronto-raptors-2021102728
Wed Oct 27 2021 17:30:00 GMT-0600 (Mountain Daylight Time),AtlantaHawks_at_NewOrleansPelicans_2021-10-27,0022100059,401359883,atlanta-hawks-new-orleans-pelicans-2021102703
Wed Oct 27 2021 18:00:00 GMT-0600 (Mountain Daylight Time),MinnesotaTimberwolves_at_MilwaukeeBucks_2021-10-27,0022100060,401359884,minnesota-timberwolves-milwaukee-bucks-2021102715
Wed Oct 27 2021 18:00:00 GMT-0600 (Mountain Daylight Time),LosAngelesLakers_at_OklahomaCityThunder_2021-10-27,0022100061,401359885,los-angeles-lakers-oklahoma-city-thunder-2021102725
Wed Oct 27 2021 20:00:00 GMT-0600 (Mountain Daylight Time),SacramentoKings_at_PhoenixSuns_2021-10-27,0022100062,401359886,sacramento-kings-phoenix-suns-2021102721
Wed Oct 27 2021 20:00:00 GMT-0600 (Mountain Daylight Time),MemphisGrizzlies_at_PortlandTrailBlazers_2021-10-27,0022100063,401359887,memphis-grizzlies-portland-trail-blazers-2021102722
Wed Oct 27 2021 20:30:00 GMT-0600 (Mountain Daylight Time),ClevelandCavaliers_at_LosAngelesClippers_2021-10-27,0022100064,401359888,cleveland-cavaliers-los-angeles-clippers-2021102712
Thu Oct 28 2021 17:00:00 GMT-0600 (Mountain Daylight Time),DetroitPistons_at_Philadelphia76ers_2021-10-28,0022100065,401359889,detroit-pistons-philadelphia-76ers-2021102820
Thu Oct 28 2021 17:00:00 GMT-0600 (Mountain Daylight Time),AtlantaHawks_at_WashingtonWizards_2021-10-28,0022100066,401359890,atlanta-hawks-washington-wizards-2021102827
Thu Oct 28 2021 18:00:00 GMT-0600 (Mountain Daylight Time),NewYorkKnicks_at_ChicagoBulls_2021-10-28,0022100067,401359891,new-york-knicks-chicago-bulls-2021102804
Thu Oct 28 2021 18:00:00 GMT-0600 (Mountain Daylight Time),UtahJazz_at_HoustonRockets_2021-10-28,0022100068,401359892,utah-jazz-houston-rockets-2021102810
Thu Oct 28 2021 18:30:00 GMT-0600 (Mountain Daylight Time),SanAntonioSpurs_at_DallasMavericks_2021-10-28,0022100069,401359893,san-antonio-spurs-dallas-mavericks-2021102806
Thu Oct 28 2021 20:00:00 GMT-0600 (Mountain Daylight Time),MemphisGrizzlies_at_GoldenStateWarriors_2021-10-28,0022100070,401359894,memphis-grizzlies-golden-state-warriors-2021102809
Fri Oct 29 2021 17:00:00 GMT-0600 (Mountain Daylight Time),OrlandoMagic_at_TorontoRaptors_2021-10-29,0022100071,401359895,orlando-magic-toronto-raptors-2021102928
Fri Oct 29 2021 17:30:00 GMT-0600 (Mountain Daylight Time),IndianaPacers_at_BrooklynNets_2021-10-29,0022100072,401359896,indiana-pacers-brooklyn-nets-2021102917
Fri Oct 29 2021 17:30:00 GMT-0600 (Mountain Daylight Time),CharlotteHornets_at_MiamiHeat_2021-10-29,0022100073,401359897,charlotte-hornets-miami-heat-2021102914
Fri Oct 29 2021 18:00:00 GMT-0600 (Mountain Daylight Time),SacramentoKings_at_NewOrleansPelicans_2021-10-29,0022100074,401359898,sacramento-kings-new-orleans-pelicans-2021102903
Fri Oct 29 2021 20:00:00 GMT-0600 (Mountain Daylight Time),DallasMavericks_at_DenverNuggets_2021-10-29,0022100075,401359899,dallas-mavericks-denver-nuggets-2021102907
